Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0xbd26ed15a569d3e814ef46d34a9700c3f60b21a2f62ca32f14261d6ddea1a13e","Success","Add Sequencer L2Batch From Origin","20950668","2024-10-12 16:19:11","0xba369bd77a346babcd282cb1a015194e8ec54542","","0x8d99372612e8cfe7163b1a453831bc40eaeb3cf3","","0 ETH","$0.00","0.0018602"
"0x76e1dd091024b072902eea46e8bb0a94660344c661bed01de619813ee3fb5bd6","Success","Approve","20950668","2024-10-12 16:19:11","0xb3532ff70216023eba0acad23650d3743353c56a","","0xa9613ba9780683bbdaf97019dc25f30c8cc4a901","","0 ETH","$0.00","0.00081265"
"0xe58c059361495379f47e0b65df13821d41bbff67e1db52800de18e839630e219","Success","Transfer","20950668","2024-10-12 16:19:11","0x8badd8b59ddaf9a12c4910ca1b2e8ea750a71594","","0x2545e8bd3416b856e922e2f07b4e6fd9dbed5d4b","","0.01907202 ETH","$47.15","0.00036656"
"0x1ea3b1b1b5e284f803c6eaeb61d89d6e9be9a4242e29e3879ea15114d2aeb939","Success","Flush Tokens","20950668","2024-10-12 16:19:11","0x9d3de545f58c696946b4cf2c884fcf4f7914cb53","","0xa2afbedf7e5c8bf94ee7a4f7912359104c186881","","0 ETH","$0.00","0.00107104"
"0x98d75335212c8ab16c61e1cc61faee071f3a35ebbaf02a21eab095a51cedb412","Success","Transfer","20950668","2024-10-12 16:19:11","0xd5d0aaae0055c5757702c5c7380e2b7f990855a9","","0x4f54d686978ed2d5ac61c6aed688d8bc133c20b0","","0.120890966 ETH","$298.84","0.00036656"
"0xf7632ef18904489e280c4661f71804a1cf64e1dc73542aa83b9740a673d19e9a","Success","Transfer","20950668","2024-10-12 16:19:11","0xcbd6832ebc203e49e2b771897067fce3c58575ac","Rollbit: Hot Wallet","0x20fda4bfe05b0b71fcbde2e1b4d09a37e69efaa7","","0.644136 ETH","$1,592.30","0.00036656"
"0x8312ffcecb03f0e47b3a7a51a55462f0d7e0fb3fcbae050cef771cf7ee24fb71","Success","Claim Amount","20950668","2024-10-12 16:19:11","0x6e1e7bfbad6e6ecfdd41e3188c1ece996711247c","","0x602c90d796d746b97a36f075d9f3b2892b9b07c2","","0 ETH","$0.00","0.00251953"
"0x75413fbcf9d7db23831527ce2f3b949b532f51660e33280c21d730dda0d965c6","Success","Transfer","20950668","2024-10-12 16:19:11","0x0113a6b755fbad36b4249fd63002e2035e401143","HitBTC: Deposit Funder 3","0x183f6eb729a3cea2e44499b52e7f9b462dfed0c9","","0.005191512 ETH","$12.83","0.00036656"
"0x60d5e346b999019f2f9dd7a36baadc163553ac9b657a3cb51e1ea86fa84f7341","Success","Transfer","20950668","2024-10-12 16:19:11","0xd5fbda4c79f38920159fe5f22df9655fde292d47","Gamdom: Hot Wallet","0xef17b21a18b7219b055c50b9fca37046d2d21a38","","3.747850226 ETH","$9,264.66","0.00036656"
"0x3ba3cc69e6f7537a67c13ef14bdd146c42b551e10cc6c6e9df75c80a72948aad","Success","Transfer","20950668","2024-10-12 16:19:11","0x8c8d7c46219d9205f056f28fee5950ad564d7465","mercuryo","0x74c25c1f9a26d95a94d9b72fc5efbd9a25f90b15","","0.04212963 ETH","$104.14","0.00036656"
"0xfb2e758bc8d76124c2e502b5b3ce21411facdc9825dda5d71cb822f95dc33124","Success","Transfer","20950668","2024-10-12 16:19:11","0x8c8d7c46219d9205f056f28fee5950ad564d7465","mercuryo","0x2c7dd048898edad50a69a81fdc45b310a097d95c","","0.022087914 ETH","$54.60","0.00036656"
"0xf199303ceac49925e009774bae089a161a7645fdadc7ce321f5dd9c886cc6cba","Success","Transfer","20950668","2024-10-12 16:19:11","0x8134cd9c26243f7d4c92cbf1e9d6646a33668d8f","","0x33fd44a3ccff8452f5722c4fc163c65d88af9a45","","0.020103977 ETH","$49.70","0.00036656"
"0x610926a69bcb76c4d8f54f24010688dfcb2befe17bdfdcbcbb95c31bf32b625d","Success","Commit Verification","20950668","2024-10-12 16:19:11","0xe93685f3bba03016f02bd1828badd6195988d950","Layer Zero: Executor","0xc02ab410f0734efa3f14628780e6e695156024c2","","0 ETH","$0.00","0.00134115"
"0xa98e6998ee7136b5c6bdbca3daab1dc1d0767aee8edcf4ff25b2a350094090a4","Success","Transfer","20950668","2024-10-12 16:19:11","0xee73323912a4e3772b74ed0ca1595a152b0ef282","","0xc5d1346c6596857a8d67a1d43a9faf646229be6e","","0.095799999 ETH","$236.82","0.00036656"
"0x1eda6dd57b76360c295742b36b95465bfa90bb7f558fabefd65bb2e509b21be6","Success","Claim","20950668","2024-10-12 16:19:11","0x101375d52ec1b0e6b5072896dc417dee728a1413","","0x03caec60a734da03f3ee8f8aca8834e8c3560e7e","","0 ETH","$0.00","0.0015293"
"0x62930b781935dfb419690c84a68982300240ed49e7a67b3bfa458654b44600b0","Success","Transfer","20950668","2024-10-12 16:19:11","0xb102654f07e3d2198df22e9808cc21ed1a6b3efd","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.0011039"
"0xae699e2750c5fd787a89971c342c69db804b7c465fba5b4480ad6a259862a4cb","Success","Transfer","20950668","2024-10-12 16:19:11","0x3714b91114f72e0df6c4094e35a0199670b04ba7","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00080694"
"0x8415ffcdcd406e363a666766e69d0f0037af09f81330b987b0fee8653e0d349b","Success","Transfer","20950668","2024-10-12 16:19:11","0xb1793551583c8356f3f0c20f63c3e60de8a271d8","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00080715"
"0xcca1fa81e4ce2d35ac132a1f7063f22134c19579e8ce8b2162bf9e011962db56","Success","Transfer","20950668","2024-10-12 16:19:11","0x3be3e859c9b4c84ae1626c9c7410d9a169797ccf","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.0011065"
"0xd6057aa834c860e227d610319ca58d1bfc6a0e2793e2185089821c50f77543e4","Success","Remove_liquidity_one_coin","20950668","2024-10-12 16:19:11","0x9e4df49dd39e61a119a6425ee96f46af27c8f62d","","0x167478921b907422f8e88b43c4af2b8bea278d3a","","0 ETH","$0.00","0.00317916"
"0x4e6ebf768c52296c8d9b87c1f9792cfc14cfec4fb21bed01bf11b52765e6114e","Success","Transfer","20950668","2024-10-12 16:19:11","0x3f150094ccf70f914f18f11708e56cb9547e0cbb","","0xdfdf8bba5e7d1f739e3d702fa75c657113cc2365","","0.047 ETH","$116.18","0.00036761"
"0xcaeeb0c5a613426024d493372768c7b59472e4cb049ba9b200da395cd7737e91","Success","Transfer","20950668","2024-10-12 16:19:11","0x124e2f1a7b2b0fc6825759d513fdf43156ae2e55","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00080699"
"0xeb06e404ec846ed24573a51ce34e0bf96617b33b2fed62738329f3a7224f6cf6","Success","Transfer","20950668","2024-10-12 16:19:11","0x80c67432656d59144ceff962e8faf8926599bcf8","Orbiter Finance: Bridge","0x344c9ada20befec1f123a183609c22d0389be896","","0.02 ETH","$49.44","0.00036864"
"0x64877b0f6cf6f08b0349ca4c79d1ec33b3be47d11fc75bb0964932d3a911613d","Success","Transfer","20950668","2024-10-12 16:19:11","0x72a9533ae06fa04375704a6e2ea86f43b839987c","","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether: USDT Stablecoin","0 ETH","$0.00","0.00110938"
